Gemaakt op,Type locatie,Status,Feedback gevraagd,Kanaal,Locatie,Nummer,Type sluikstort,dichtstbijzijnde_adres,longitude,latitude,geo_punt
2023-03-01T06:39:51+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Krommenelleboog 77B, 9000 Gent"", ""Longitude"": 3.7142136, ""Latitude"": 51.0497403}",MLD2311052,Zakken,"Krommenelleboog 77B, 9000 Gent",3.7142136,51.0497403,"51.0497403, 3.7142136"
2023-03-01T08:13:56+01:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""heilige-kerstkerk"", ""Dichtstbijzijnde adres"": ""Sleepstraat 241, 9000 Gent"", ""Longitude"": 3.7290078, ""Latitude"": 51.0638867}",MLD2311066,Andere,"Sleepstraat 241, 9000 Gent",3.7290078,51.0638867,"51.0638867, 3.7290078"
2023-03-01T08:27:29+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Denderlaan 51, 9000 Gent"", ""Longitude"": 3.7456045, ""Latitude"": 51.0482345}",MLD2311068,Papier en karton,"Denderlaan 51, 9000 Gent",3.7456045,51.0482345,"51.0482345, 3.7456045"
2023-03-01T08:53:15+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Destelbergenstraat 14, 9040 Gent"", ""Longitude"": 3.7535649, ""Latitude"": 51.050137}",MLD2311078,Papier en karton,"Destelbergenstraat 14, 9040 Gent",3.7535649,51.050137,"51.050137, 3.7535649"
2023-03-01T08:56:17+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Geuzenberg 51, 9000 Gent"", ""Longitude"": 3.7244476341, ""Latitude"": 51.0656120939}",MLD2311081,Zakken,"Geuzenberg 51, 9000 Gent",3.7244476341,51.0656120939,"51.0656120939, 3.7244476341"
2023-03-01T09:27:37+01:00,Openbare weg,Afgerond - Uitgevoerd,1,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""6 autobanden"", ""Dichtstbijzijnde adres"": ""Petrus Jozef Triesthof 3, 9050 Gent"", ""Longitude"": 3.7726848184, ""Latitude"": 51.0300478178}",MLD2311101,Andere,"Petrus Jozef Triesthof 3, 9050 Gent",3.7726848184,51.0300478178,"51.0300478178, 3.7726848184"
2023-03-01T09:50:28+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Engelstraat 33, 9040 Gent"", ""Longitude"": 3.7511053, ""Latitude"": 51.0558593}",MLD2311109,Zakken,"Engelstraat 33, 9040 Gent",3.7511053,51.0558593,"51.0558593, 3.7511053"
2023-03-01T10:00:50+01:00,Openbare weg,Afgerond - Uitgevoerd,0,DROSO,"{""Locatie beschrijving"": ""Achter frituur Tolpoort aan ingang weide"", ""Dichtstbijzijnde adres"": ""Lambert Queteletstraat 43, 9000 Gent"", ""Longitude"": 3.7266797264, ""Latitude"": 51.0667593793}",MLD2311120,,"Lambert Queteletstraat 43, 9000 Gent",3.7266797264,51.0667593793,"51.0667593793, 3.7266797264"
2023-03-01T10:02:08+01:00,Openbare weg,Afgerond - Uitgevoerd,0,DROSO,"{""Locatie beschrijving"": ""Hoek erasmusstraat"", ""Dichtstbijzijnde adres"": ""Desiderius Erasmusstraat 21, 9000 Gent"", ""Longitude"": 3.7261482525, ""Latitude"": 51.0662112884}",MLD2311130,,"Desiderius Erasmusstraat 21, 9000 Gent",3.7261482525,51.0662112884,"51.0662112884, 3.7261482525"
2023-03-01T10:02:18+01:00,Openbare weg,Afgerond - In behandeling,0,DROSO,"{""Locatie beschrijving"": ""Kartuizerlaan 135"", ""Dichtstbijzijnde adres"": ""Kartuizerlaan 133, 9000 Gent"", ""Longitude"": 3.7273701136, ""Latitude"": 51.0631427196}",MLD2311131,,"Kartuizerlaan 133, 9000 Gent",3.7273701136,51.0631427196,"51.0631427196, 3.7273701136"
2023-03-01T10:10:59+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Heilig-Hartstraat 42, 9040 Gent"", ""Longitude"": 3.7465102, ""Latitude"": 51.0535998}",MLD2311139,Zakken,"Heilig-Hartstraat 42, 9040 Gent",3.7465102,51.0535998,"51.0535998, 3.7465102"
2023-03-01T10:18:28+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Heilig-Hartstraat 42, 9040 Gent"", ""Longitude"": 3.7465324, ""Latitude"": 51.0535626}",MLD2311143,Zakken,"Heilig-Hartstraat 42, 9040 Gent",3.7465324,51.0535626,"51.0535626, 3.7465324"
2023-03-01T10:24:28+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Evarist De Buckstraat 37, 9040 Gent"", ""Longitude"": 3.7460364, ""Latitude"": 51.0537009}",MLD2311145,Zakken,"Evarist De Buckstraat 37, 9040 Gent",3.7460364,51.0537009,"51.0537009, 3.7460364"
2023-03-01T10:25:41+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 186, 9000 Gent"", ""Longitude"": 3.7453824, ""Latitude"": 51.0532468}",MLD2311147,Zakken,"Dendermondsesteenweg 186, 9000 Gent",3.7453824,51.0532468,"51.0532468, 3.7453824"
2023-03-01T10:35:51+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 139, 9000 Gent"", ""Longitude"": 3.7435431, ""Latitude"": 51.0539159}",MLD2311152,Zakken,"Dendermondsesteenweg 139, 9000 Gent",3.7435431,51.0539159,"51.0539159, 3.7435431"
2023-03-01T10:38:17+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 173, 9000 Gent"", ""Longitude"": 3.7447795, ""Latitude"": 51.0533669}",MLD2311154,Zakken,"Dendermondsesteenweg 173, 9000 Gent",3.7447795,51.0533669,"51.0533669, 3.7447795"
2023-03-01T10:46:30+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 111, 9000 Gent"", ""Longitude"": 3.7431065, ""Latitude"": 51.0548927}",MLD2311158,Zakken,"Dendermondsesteenweg 111, 9000 Gent",3.7431065,51.0548927,"51.0548927, 3.7431065"
2023-03-01T10:48:55+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 74, 9000 Gent"", ""Longitude"": 3.7427515, ""Latitude"": 51.0552103}",MLD2311159,Zakken,"Dendermondsesteenweg 74, 9000 Gent",3.7427515,51.0552103,"51.0552103, 3.7427515"
2023-03-01T10:54:40+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Wespstraat 9, 9000 Gent"", ""Longitude"": 3.7448873, ""Latitude"": 51.0562912}",MLD2311162,Zakken,"Wespstraat 9, 9000 Gent",3.7448873,51.0562912,"51.0562912, 3.7448873"
2023-03-01T10:56:20+01:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""aan ondergrondse sorteerpunt textielstraat "", ""Dichtstbijzijnde adres"": ""Virginiastraat 63, 9000 Gent"", ""Longitude"": 3.6920603412, ""Latitude"": 51.0668750169}",MLD2311163,Zakken,"Virginiastraat 63, 9000 Gent",3.6920603412,51.0668750169,"51.0668750169, 3.6920603412"
2023-03-01T11:00:11+01:00,Openbare weg,Afgerond - Uitgevoerd,0,DROSO,"{""Locatie beschrijving"": ""Tegenover nr.26"", ""Dichtstbijzijnde adres"": ""Molenstraat 26, 9032 Gent"", ""Longitude"": 3.7183126482, ""Latitude"": 51.0877640215}",MLD2311166,,"Molenstraat 26, 9032 Gent",3.7183126482,51.0877640215,"51.0877640215, 3.7183126482"
2023-03-01T11:57:45+01:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""aan verkeersbord "", ""Dichtstbijzijnde adres"": ""Zingemkouterstraat 81, 9040 Gent"", ""Longitude"": 3.7626125, ""Latitude"": 51.07512}",MLD2311195,Zakken,"Zingemkouterstraat 81, 9040 Gent",3.7626125,51.07512,"51.07512, 3.7626125"
2023-03-01T13:44:03+01:00,Rond afvalkorf/BBQ plaats,Afgerond - In behandeling,1,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""GENTINFO\r\nSorteerpunten van IVAGO."", ""Dichtstbijzijnde adres"": ""Meierij 89, 9050 Gent"", ""Longitude"": 3.7379281279, ""Latitude"": 51.0316454828}",MLD2311209,Zakken,"Meierij 89, 9050 Gent",3.7379281279,51.0316454828,"51.0316454828, 3.7379281279"
2023-03-01T13:46:39+01:00,Rond afvalkorf/BBQ plaats,Afgerond - In behandeling,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""hoek wondelgemstraat "", ""Dichtstbijzijnde adres"": ""Maria-Theresiastraat, Gent"", ""Longitude"": 3.709109271, ""Latitude"": 51.0627622678}",MLD2311210,Zakken,"Maria-Theresiastraat, Gent",3.709109271,51.0627622678,"51.0627622678, 3.709109271"
2023-03-01T14:07:51+01:00,Openbare weg,Afgerond - Uitgevoerd,1,Webformulier (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Kortedagsteeg 6A, 9000 Gent"", ""Longitude"": 3.7263150247, ""Latitude"": 51.0503349652}",MLD2311214,Zakken,"Kortedagsteeg 6A, 9000 Gent",3.7263150247,51.0503349652,"51.0503349652, 3.7263150247"
2023-03-01T14:39:22+01:00,Berm,Uitvoering - In behandeling,1,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""Nokerstraat linker en rechterberm"", ""Dichtstbijzijnde adres"": ""Skaldenstraat 142, 9042 Gent"", ""Longitude"": 3.8002827188, ""Latitude"": 51.1122372269}",MLD2311217,Andere,"Skaldenstraat 142, 9042 Gent",3.8002827188,51.1122372269,"51.1122372269, 3.8002827188"
2023-04-19T17:01:53+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Kunstenaarstraat 119, 9040 Gent"", ""Longitude"": 3.7446048, ""Latitude"": 51.0500562}",MLD2319431,Zakken,"Kunstenaarstraat 119, 9040 Gent",3.7446048,51.0500562,"51.0500562, 3.7446048"
2023-04-19T17:55:51+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Heilig-Hartplein 12, 9040 Gent"", ""Longitude"": 3.7489321, ""Latitude"": 51.0539623}",MLD2319446,Papier en karton;Zakken,"Heilig-Hartplein 12, 9040 Gent",3.7489321,51.0539623,"51.0539623, 3.7489321"
2023-04-20T06:49:48+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""aan de deur op een pmd zak, de dader is gefilmd door de camera’s van parking reep!!! "", ""Dichtstbijzijnde adres"": ""Seminariestraat 6, 9000 Gent"", ""Longitude"": 3.7313112713, ""Latitude"": 51.0514435304}",MLD2319475,Zakken,"Seminariestraat 6, 9000 Gent",3.7313112713,51.0514435304,"51.0514435304, 3.7313112713"
2023-04-20T07:24:28+02:00,Openbare weg,Afgerond - Stopgezet,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Welvaartstraat 34, 9000 Gent"", ""Longitude"": 3.6989228, ""Latitude"": 51.0677853}",MLD2319478,Andere;Zakken,"Welvaartstraat 34, 9000 Gent",3.6989228,51.0677853,"51.0677853, 3.6989228"
2023-04-20T07:49:07+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Sleepstraat 182A, 9000 Gent"", ""Longitude"": 3.7284561, ""Latitude"": 51.0630874}",MLD2319480,Zakken,"Sleepstraat 182A, 9000 Gent",3.7284561,51.0630874,"51.0630874, 3.7284561"
2023-04-20T09:12:30+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""maisstraat 221"", ""Dichtstbijzijnde adres"": ""Maïsstraat 229, 9000 Gent"", ""Longitude"": 3.71410364, ""Latitude"": 51.0735309312}",MLD2319508,Andere;Meubilair;Zakken,"Maïsstraat 229, 9000 Gent",3.71410364,51.0735309312,"51.0735309312, 3.71410364"
2023-04-20T09:46:28+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Jozef Van Crombrugghestraat 52, 9000 Gent"", ""Longitude"": 3.7251023, ""Latitude"": 51.0660637}",MLD2319522,Zakken,"Jozef Van Crombrugghestraat 52, 9000 Gent",3.7251023,51.0660637,"51.0660637, 3.7251023"
2023-04-20T10:10:43+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""maisstraat 221"", ""Dichtstbijzijnde adres"": ""Maïsstraat 227, 9000 Gent"", ""Longitude"": 3.7141216131, ""Latitude"": 51.073514064}",MLD2319530,Andere;Meubilair;Zakken,"Maïsstraat 227, 9000 Gent",3.7141216131,51.073514064,"51.073514064, 3.7141216131"
2023-04-20T10:43:41+02:00,Openbare weg,Behandeling - In behandeling,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Gillis Coppinsstraat 8, 9000 Gent"", ""Longitude"": 3.7269496583, ""Latitude"": 51.0623709845}",MLD2319542,Winkelkar,"Gillis Coppinsstraat 8, 9000 Gent",3.7269496583,51.0623709845,"51.0623709845, 3.7269496583"
2023-04-20T10:53:40+02:00,Park of groenzone,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Kartuizerlaan 123, 9000 Gent"", ""Longitude"": 3.7270803872, ""Latitude"": 51.0629865164}",MLD2319547,Zakken,"Kartuizerlaan 123, 9000 Gent",3.7270803872,51.0629865164,"51.0629865164, 3.7270803872"
2023-04-20T10:54:44+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Tolhuislaan 111, 9000 Gent"", ""Longitude"": 3.7261885, ""Latitude"": 51.0642678}",MLD2319548,Zakken,"Tolhuislaan 111, 9000 Gent",3.7261885,51.0642678,"51.0642678, 3.7261885"
2023-04-20T10:54:46+02:00,Park of groenzone,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Meerhem 35, 9000 Gent"", ""Longitude"": 3.7280356105, ""Latitude"": 51.0633142828}",MLD2319549,Andere,"Meerhem 35, 9000 Gent",3.7280356105,51.0633142828,"51.0633142828, 3.7280356105"
2023-04-20T22:21:54+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Jean Béthunestraat 43, 9040 Gent"", ""Longitude"": 3.747857786, ""Latitude"": 51.0536552484}",MLD2319630,Zakken,"Jean Béthunestraat 43, 9040 Gent",3.747857786,51.0536552484,"51.0536552484, 3.747857786"
2023-04-21T08:24:02+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""neerscheldestraat rechtover nr 29"", ""Dichtstbijzijnde adres"": ""Neerscheldestraat 29, 9050 Gent"", ""Longitude"": 3.743679645, ""Latitude"": 51.0428299611}",MLD2319642,Zakken,"Neerscheldestraat 29, 9050 Gent",3.743679645,51.0428299611,"51.0428299611, 3.743679645"
2023-04-21T08:47:31+02:00,Park of groenzone,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""in wijkpark De Porre aan de autoparkeerplaatsen voor autodelen "", ""Dichtstbijzijnde adres"": ""Jules de Saint-Genoisstraat 103, 9050 Gent"", ""Longitude"": 3.7570167777, ""Latitude"": 51.0281814992}",MLD2319645,Andere,"Jules de Saint-Genoisstraat 103, 9050 Gent",3.7570167777,51.0281814992,"51.0281814992, 3.7570167777"
2023-04-21T08:56:55+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""In de hogepontstraat aan app 49 "", ""Dichtstbijzijnde adres"": ""Hogepontstraat 47, 9050 Gent"", ""Longitude"": 3.7444374977, ""Latitude"": 51.0443659076}",MLD2319649,Zakken,"Hogepontstraat 47, 9050 Gent",3.7444374977,51.0443659076,"51.0443659076, 3.7444374977"
2023-04-21T09:42:46+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Nieuwpoort 26, 9000 Gent"", ""Longitude"": 3.729750049, ""Latitude"": 51.0560730948}",MLD2319657,Papier en karton;Zakken,"Nieuwpoort 26, 9000 Gent",3.729750049,51.0560730948,"51.0560730948, 3.729750049"
2023-04-21T09:59:16+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""Er is een dode duif thv Jakob Jordaenstraat, kunnen jullie dit naar de juiste dienst doorverwijzen? "", ""Dichtstbijzijnde adres"": ""Jakob Jordaensstraat 6, 9000 Gent"", ""Longitude"": 3.722243563, ""Latitude"": 51.0425095951}",MLD2319665,Dode dieren,"Jakob Jordaensstraat 6, 9000 Gent",3.722243563,51.0425095951,"51.0425095951, 3.722243563"
2023-04-21T10:01:00+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Kunstenaarstraat 38, 9040 Gent"", ""Longitude"": 3.7470873, ""Latitude"": 51.0519451}",MLD2319667,Zakken,"Kunstenaarstraat 38, 9040 Gent",3.7470873,51.0519451,"51.0519451, 3.7470873"
2023-04-21T10:33:22+02:00,Openbare weg,Afgerond - Dubbel,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Tolhuislaan 13, 9000 Gent"", ""Longitude"": 3.7248733198, ""Latitude"": 51.062576836}",MLD2319672,Zakken,"Tolhuislaan 13, 9000 Gent",3.7248733198,51.062576836,"51.062576836, 3.7248733198"
2023-04-21T11:31:34+02:00,Park of groenzone,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""waterkant "", ""Dichtstbijzijnde adres"": ""Groendreef 71, 9000 Gent"", ""Longitude"": 3.701772425, ""Latitude"": 51.0631108736}",MLD2319680,Meubilair,"Groendreef 71, 9000 Gent",3.701772425,51.0631108736,"51.0631108736, 3.701772425"
2023-04-21T11:39:55+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""PERSOONSGEGEVENS\r\nNaam : Dierickx\r\nVoornaam : Margaret \r\n\r\nOMSCHRIJVING\r\nkomt van pagina site: https://stad.gent/nl/contact-meldpunten/meldpunten/zwerfvuil-sluikstort\r\n\tZwerfvuil vandaag Kortrijkseste"", ""Dichtstbijzijnde adres"": ""Kortrijksesteenweg 553, 9000 Gent"", ""Longitude"": 3.716518258, ""Latitude"": 51.0357119749}",MLD2319681,Zakken,"Kortrijksesteenweg 553, 9000 Gent",3.716518258,51.0357119749,"51.0357119749, 3.716518258"
2023-04-21T11:41:14+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Emile Moysonlaan 66, 9000 Gent"", ""Longitude"": 3.7475022, ""Latitude"": 51.0483825}",MLD2319685,Zakken,"Emile Moysonlaan 66, 9000 Gent",3.7475022,51.0483825,"51.0483825, 3.7475022"
2023-04-21T11:51:56+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Meulesteedsesteenweg 427, 9000 Gent"", ""Longitude"": 3.7280672, ""Latitude"": 51.0825206}",MLD2319689,Zakken,"Meulesteedsesteenweg 427, 9000 Gent",3.7280672,51.0825206,"51.0825206, 3.7280672"
2023-04-21T12:38:16+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""Parkingang aan Gasmeterlaan 181"", ""Dichtstbijzijnde adres"": ""Gasmeterlaan 181, 9000 Gent"", ""Longitude"": 3.721718, ""Latitude"": 51.0671773}",MLD2319694,Zakken,"Gasmeterlaan 181, 9000 Gent",3.721718,51.0671773,"51.0671773, 3.721718"
